ND,phys_mode,ccx_v1_Hz,ccx_v3_Hz,ansys_Hz,v1_pct,v3_pct
0,1,5203.5,5203.5,5196.3,+0.14,+0.14
0,2,20676.3,20676.1,20639.0,+0.18,+0.18
0,3,49616.7,26017.0,25060.0,+97.99,+3.82
0,4,59639.9,49616.2,49528.0,+20.42,+0.18
0,5,91088.9,-,51592.0,+76.56,-
0,6,-,-,59597.0,-,-
0,7,-,-,77560.0,-,-
1,1,5219.8,5219.7,5212.4,+0.14,+0.14
1,2,20720.9,20720.5,20684.0,+0.18,+0.18
1,3,49669.2,24270.8,23469.0,+111.64,+3.42
1,4,61983.3,27835.5,26701.0,+132.14,+4.25
1,5,91144.6,49668.3,49014.0,+85.96,+1.33
2,1,5274.7,5274.3,5266.8,+0.15,+0.14
2,2,20856.0,20854.8,20818.0,+0.18,+0.18
2,3,49827.6,22595.7,21930.0,+127.21,+3.04
2,4,68519.6,29727.6,28391.0,+141.34,+4.71
2,5,91314.2,47163.6,46529.0,+96.25,+1.36
3,1,5380.3,5378.6,5370.8,+0.18,+0.14
3,2,21084.7,20990.8,20443.0,+3.14,+2.68
3,3,50096.4,21080.6,21044.0,+138.06,+0.17
3,4,78166.2,31695.2,30131.0,+159.42,+5.19
3,5,91605.1,44655.0,44142.0,+107.52,+1.16
4,1,5549.5,5542.6,5534.6,+0.27,+0.14
4,2,21414.4,19455.6,19009.0,+12.65,+2.35
4,3,50486.6,21400.7,21365.0,+136.31,+0.17
4,4,89863.8,33740.2,31920.0,+181.53,+5.70
4,5,92035.1,42268.1,41858.0,+119.87,+0.98
5,1,5798.0,5775.0,5766.8,+0.54,+0.14
5,2,21859.3,17990.2,17630.0,+23.99,+2.04
5,3,51022.1,21818.3,21782.0,+134.24,+0.17
5,4,92636.8,35864.8,33757.0,+174.42,+6.24
5,5,102672.0,40005.9,39682.0,+158.74,+0.82
6,1,6147.4,6083.6,6074.8,+1.20,+0.14
6,2,22446.7,16595.1,16309.0,+37.63,+1.75
6,3,51750.6,22337.2,22301.0,+132.05,+0.16
6,4,93479.6,37871.2,35642.0,+162.27,+6.25
6,5,111166.4,38071.4,37618.0,+195.51,+1.21
7,1,6627.1,6475.3,6465.2,+2.50,+0.16
7,2,23224.1,15271.3,15047.0,+54.34,+1.49
7,3,52758.5,22961.8,22926.0,+130.13,+0.16
7,4,94675.5,35866.0,35669.0,+165.43,+0.55
7,5,113306.2,40362.4,37575.0,+201.55,+7.42
8,1,7270.8,6955.3,6942.7,+4.73,+0.18
8,2,24263.5,14020.3,13847.0,+75.23,+1.25
8,3,54182.5,23696.5,23660.0,+129.00,+0.15
8,4,94071.2,33992.2,33841.0,+177.98,+0.45
8,5,96457.3,42740.4,39556.0,+143.85,+8.05
9,1,8099.8,7527.0,7510.0,+7.85,+0.23
9,2,25644.1,12844.3,12714.0,+101.70,+1.03
9,3,56192.6,24545.6,24507.0,+129.29,+0.16
9,4,78237.6,32250.9,32134.0,+143.47,+0.36
9,5,90732.4,45208.4,41584.0,+118.19,+8.72
10,1,9068.8,8191.4,8167.2,+11.04,+0.30
10,2,27360.9,11746.0,11649.0,+134.88,+0.83
10,3,58887.8,25513.4,25471.0,+131.20,+0.17
10,4,65999.0,30642.3,30552.0,+116.02,+0.30
10,5,76913.8,47769.1,43659.0,+76.17,+9.41
11,1,9958.9,8947.9,8913.1,+11.73,+0.39
11,2,29075.9,10728.2,10658.0,+172.81,+0.66
11,3,57998.5,26603.9,26556.0,+118.40,+0.18
11,4,61982.5,29165.9,29095.0,+113.03,+0.24
11,5,67801.0,50425.3,45781.0,+48.10,+10.14
12,1,10344.0,9794.5,9744.5,+6.15,+0.51
12,2,29874.5,27820.5,27763.0,+7.61,+0.21
12,3,55185.4,53180.0,47950.0,+15.09,+10.91
12,4,63688.9,-,57363.0,+11.03,-
12,5,64491.4,-,88305.0,-26.97,-
